economy,year,id_year,urbanpop
LUX,2011,LUX 2011,460842
LVA,2011,LVA 2011,1397904
MAC,2011,MAC 2011,571003
MAR,2011,MAR 2011,19275316
MCO,2011,MCO 2011,33945
MDA,2011,MDA 2011,1218343
MDG,2011,MDG 2011,7281030
MDV,2011,MDV 2011,137977
MEA,2011,MEA 2011,254476115
MEX,2011,MEX 2011,89164082
MHL,2011,MHL 2011,39219
MIC,2011,MIC 2011,2530420623
MKD,2011,MKD 2011,1175261
MLI,2011,MLI 2011,5902462
MLT,2011,MLT 2011,391879
MMR,2011,MMR 2011,14477757
MNA,2011,MNA 2011,206452895
MNE,2011,MNE 2011,399777
MNG,2011,MNG 2011,1864863
MNP,2011,MNP 2011,47808
MOZ,2011,MOZ 2011,7683170
MRT,2011,MRT 2011,1673772
MUS,2011,MUS 2011,519046
MWI,2011,MWI 2011,2373696
MYS,2011,MYS 2011,20898466
NAC,2011,NAC 2011,280120518
NAM,2011,NAM 2011,909166
NCL,2011,NCL 2011,171852
NER,2011,NER 2011,2802629
NGA,2011,NGA 2011,73409645
NIC,2011,NIC 2011,3393970
NLD,2011,NLD 2011,14669707
NOR,2011,NOR 2011,3935476
NPL,2011,NPL 2011,4664736
NRU,2011,NRU 2011,10283
NZL,2011,NZL 2011,3774624
OED,2011,OED 2011,1027761520
OMN,2011,OMN 2011,2443090
OSS,2011,OSS 2011,15699289
PAK,2011,PAK 2011,69912136
PAN,2011,PAN 2011,2413758
PER,2011,PER 2011,22584945
PHL,2011,PHL 2011,43854945
PLW,2011,PLW 2011,13773
PNG,2011,PNG 2011,1014863
POL,2011,POL 2011,23134846
PRE,2011,PRE 2011,285809783
PRI,2011,PRI 2011,3449657
PRK,2011,PRK 2011,15008319
PRT,2011,PRT 2011,6457743
PRY,2011,PRY 2011,3482053
PSE,2011,PSE 2011,2888204
PSS,2011,PSS 2011,864348
PST,2011,PST 2011,863058781
PYF,2011,PYF 2011,173695
QAT,2011,QAT 2011,1778949
ROU,2011,ROU 2011,10871606
RUS,2011,RUS 2011,105407937
RWA,2011,RWA 2011,1791521
SAS,2011,SAS 2011,525925036
SAU,2011,SAU 2011,24814831
SDN,2011,SDN 2011,11429725
SEN,2011,SEN 2011,5689594
SGP,2011,SGP 2011,5183688
SLB,2011,SLB 2011,113557
SLE,2011,SLE 2011,2595229
SLV,2011,SLV 2011,4070597
SMR,2011,SMR 2011,31183
SOM,2011,SOM 2011,5008903
SRB,2011,SRB 2011,3994308
SSA,2011,SSA 2011,330350732
SSD,2011,SSD 2011,1847027
SSF,2011,SSF 2011,330397705
SST,2011,SST 2011,20130396
STP,2011,STP 2011,122908
SUR,2011,SUR 2011,365940
SVK,2011,SVK 2011,2937801
SVN,2011,SVN 2011,1085605
SWE,2011,SWE 2011,8059895
SWZ,2011,SWZ 2011,250919
SXM,2011,SXM 2011,33435
SYC,2011,SYC 2011,46973
